Engleza,Romana
Nice to meet you.,Îmi pare bine de cunoștință!
Tom asked Mary who she thought would be the most likely to win the race.,Tom a întrebat-o pe Mary cine crede ea că e cel mai probabil să câştige cursa.
That was where the two armies would fight again.,Acela a fost locul unde cele două armate se vor bate din nou.
Look at that picture on the desk.,Uită-te la poza de pe birou.
He walked ahead of me.,El mergea înaintea mea.
Just staying alive in these times is hard enough.,Doar ca să te menții în viață este suficient de greu în aceste timpuri.
Would you mind leaving us alone for a minute?,Ați putea să ne lăsați singuri pentru un minut?
The king oppressed his people.,Regele și-a persecutat poporul.
He is mad about music.,El este nebun după muzică.
It's so hot that you could cook an egg on the hood of a car.,E atât de cald încât ai putea găti un ou pe capota unei mașini.
She has known him only a fortnight.,Îl cunoaște doar de două săptămâni.
I'm halfway through this crime novel.,Am terminat jumătate din acest roman polițist.
Tom has a lot of will power.,Tom are multă voință.
Tom lives with his father.,Tom locuiește cu tatăl său.
The divorce rate is expected to rise.,Rata divorțurilor este așteptată să crească.
Tom stared at Mary in disbelief.,Tom se holba la Maria cu neîncredere.
I'm sorry to disturb you.,Îmi pare rău că te deranjez.
Tom and Mary don't have much in common.,Tom şi Mary nu prea au multe în comun.
My father's room is very big.,Camera tatălui meu e foarte mare.
Did you know that Tom doesn't have a driver's license?,Știai că Tom nu are carnet de șofer?
A person with a BMI of 25 to 29 is considered overweight.,O persoană având indicele de masă corporală de la 25 la 29 e considerată supraponderală.
I assume that at some point Tom will just give up.,"Presupun că la un moment dat, Tom va renunța."
Tom bought Mary some flowers.,Tom i-a cumpărat câteva flori lui Mary.
That market has been rapidly expanding.,Piaţa respectivă s-a extins rapid.
He is able to speak Japanese.,El poate vorbi japoneză.
I think it's time for me to get a new pair of glasses.,Cred că e vremea să-mi iau o nouă pereche de ochelari.
Tom doesn't like swimming in pools. He prefers swimming in lakes and rivers.,Lui Tom nu-i place să înoate în piscine. El preferă să înoate în lacuri și râuri.
I stopped smoking for the sake of my health.,Am renunțat la fumat de dragul sănătății mele.
He had to work even on Sunday.,El trebuia să muncească chiar și duminica.
He would rather die than disgrace himself.,Mai degrabă ar muri decât să se dezonoreze.
I showered before breakfast.,Eu am făcut duş înainte să iau micul dejun.
He asked the lady standing next to him some questions.,El i-a pus o întrebare doamnei care stătea lângă el.
This is strictly between us.,Asta e strict între noi.
The police detained several suspects for questioning.,Poliția a reținut câțiva suspecți pentru interogatoriu.
We can't sleep because of the noise.,Nu putem dormi din cauza zgomotului.
Thank you very much for all you have done.,Mulțumesc mult pentru tot ce ai făcut.
There's no more firewood.,Nu mai sunt lemne pentru foc.
What was the determining factor in this case?,Care a fost factorul determinant în acest caz?
You found me where no one else was looking.,M-ai găsit unde nimeni altcineva nu se uita.
Tom is being treated at a nearby hospital.,"Tom este îngrijit la un spital din apropiere,"
Tom shouldn't have eaten so much.,Tom n-ar fi trebuit să mănânce aşa de mult.
Could you tell me how to get to the station?,Îmi puteţi spune cum să ajung la gară?
I didn't think this would happen.,Nu mă gândeam că se va întâmpla asta.
World War I broke out in 1914.,Primul Război Mondial a izbucnit în 1914.
I'm a nurse.,Sunt asistentă medicală.
You can't trust Tom.,Nu poți avea încredere în Tom.
Don't worry about it. It's not your problem.,Nu-ți fă griji despre asta. Nu e problema ta.
Tom takes his job seriously.,Tom își ia serviciul în serios.
Do you speak Chinese?,Vorbeşti chineza?
Tom was lenient.,Tom era blând.
It took two tries to launch the second Gemini.,A fost nevoie de două încercări pentru a lansa al doilea Gemini.
Tom says that you deserve a chance.,Tom spune că tu meriți o șansă.
We know this is hard for you.,Noi știm că asta îți vine greu.
Put away your books and notebooks.,Puneți-vă deoparte cărțile și caietele.
What does this device do?,Ce face acest dispozitiv?
I'll ask when the train will get in.,Voi întreba când va ajunge trenul.
Can he account for his action?,Poate da el explicații pentru fapta sa?
Tom had no money at all.,Tom nu avea niciun ban.
He stood against the wall.,El stătea lipit de perete.
"Not only were we hungry, but we were also suffering from thirst.","Nu numai că ne era foame, dar sufeream şi de sete."
He is acting on his own behalf.,El acționează în numele său propriu.
Tom hasn't been there yet.,Tom nu a fost încă acolo.
I'm going to shoot him dead.,O să-l împușc.
I can't deal with this right now.,Nu mă pot ocupa de problema asta chiar acum.
I think it's going to be a nice day.,Cred că va fi o zi frumoasă.
Is that your book?,Este aceea cartea ta?
"You are tall, but he is still taller.","Tu ești înalt, dar el este și mai înalt."
I am tired of hearing the same thing so often.,M-am săturat să aud același lucru atât de des.
Tom wanted to know who Mary was talking to.,Tom dorea să stie cu cine vorbea Mary.
Where are the showers?,Unde sunt dușurile?
Tom doesn't like the rainy season.,Lui Tom nu-i place anotimpul ploios.
Twenty railroads were closed down.,20 de linii ferate fuseseră închise.
That won't happen.,Aia nu se va întâmpla.
Look behind you.,Uităte în spatele tău.
It is not outside of the realm of possibility.,Nu este în afara tuturor posibilităților.
Suicide is an act of desperation.,Suicidul este un act de disperare.
Maybe it will snow.,Poate o să ningă.
That's not an easy feat.,Aceasta nu este o performanță obținută cu ușurință.
You can take your time.,Poți să o iei încetișor.
Where can dollars be exchanged for pounds?,Unde se pot schimba dolarii în lire sterline?
Grab him.,Apucă-te de el.
Can I take a day off?,Îmi pot lua o zi liberă?
You are in my way.,Îmi stai în cale.
I bought a new computer last month.,Am cumpărat un computer nou luna trecută.
A new difficulty has arisen.,O nouă dificultate s-a ivit.
You can use this car.,Poți folosi mașina asta.
One of the bullets struck McKinley in the stomach.,Unul dintre gloanțe l-a lovit pe McKinley în stomac.
I'll bite the bullet.,Îmi voi lua inima-n dinți.
His sister became a doctor.,Sora lui a devenit doctor.
I look forward to meeting you.,Aștept cu nerăbdare să vă cunosc.
The Marines quickly defeated the communist forces.,Forțele marine au înfrânt repede forțele comuniste.
I want to tell you something.,Vreau să-ți zic ceva.
I think it's too early to tell.,Cred că este prea devreme să ne pronunțăm.
I don't love her.,Nu o iubesc.
We have to talk.,Trebuie să vorbim.
I think both Tom and Mary are still in prison.,Cred că Tom și Mary sunt încă amândoi la închisoare.
For some reason the microphone didn't work earlier.,Dintr-un motiv sau altul microfonul nu funcționa adineauri.
Don't punish him for breaking the window. He is not to blame.,Nu-l pedepsi pentru că a spart geamul. Nu este vina lui.
I made a decision.,Am luat o decizie.
Thanks for your explanation.,Mulțumesc pentru explicația dumneavoastră.
We ran around the park.,Noi am alergat în jurul parcului.
Tom hasn't read the report you wrote.,Tom nu a citit raportul pe care l-ai scris.
We look forward to seeing you again.,Sperăm să te vedem din nou.
Tom looks sad.,Tom pare trist.
You're the only person I know in Boston.,Tu ești singura persoană pe care o cunosc în Boston.
Careful preparations ensure success.,Pregătirea atentă asigură succesul.
Can we talk later?,Putem vorbi mai târziu?
You can't drink the water here.,Nu poți să bei apă aici.
It is inconceivable to me that he would do such a thing.,Este de neconceput pentru mine că el ar face așa ceva.
Tom can't forgive himself for what he did to Mary.,Tom nu se poate ierta pe el însuși pentru ceea ce i-a făcut lui Mary.
My headache is gone.,Mi-a trecut durerea de cap.
That girl is good-looking.,Fata aia arată bine.
He went backstage after the show.,S-a dus în culise după spectacol.
We're counting on you.,Ne bazăm pe tine.
I can give it a shot.,Pot să încerc.
They're my classmates.,Ei sunt colegii mei.
He insisted that I join him.,El a insistat să îl însoțesc.
This is the only alternative worth considering.,Aceasta este singura alternativă care merită să fie luată în considerare.
It needs to be repaired.,E nevoie să fie reparat.
Can I use your pen?,Pot folosi pixul tău?
Don't be late.,Să nu întârzii.
This is easy.,E uşor.
The place is apparently deserted.,Acest loc pare a fi părăsit.
I didn't scream.,Nu am țipat.
He was satisfied with the result.,El a fost satisfăcut de rezultat.
He arrived safely.,El a sosit nevătămat.
Tone of voice can indicate feelings.,Tonalitatea vocii poate indica anumite trăiri.
I'm not a parent.,Eu nu sunt părinte.
That surprised Tom.,Asta l-a surprins pe Tom.
I have to eat.,Trebuie să mănânc.
I wasn't the only person in the pool.,Nu eram singura persoană din piscină.
Tom is gregarious.,Tom este sociabil.
Tom stuck a poster on the wall.,Tom a pus un poster pe perete.
I don't believe any of you.,Nu cred pe niciunul dintre voi.
I need to be alone.,Am nevoie să fiu singur.
The wind has calmed down.,Vântul s-a calmat.
"Democracy is the worst form of government, except all the others that have been tried.","Democrația este cea mai proasta forma de guvernământ, cu excepția tuturor celorlalte care au fost încercate."
Who was here?,Cine a fost aici?
Nobody was home.,Nu era nimeni acasă.
It was an afternoon Truman would never forget.,A fost o după-amiaza pe care Truman nu avea să o uite niciodată.
I was present at school yesterday.,Am fost ieri prezent la școală.
The cost of building the railroad was very high.,Costul construirii căii ferate a fost foarte mare.
That's why they did it.,De asta au făcut-o.
That's already been done.,Asta a fost făcută deja.
I'm staying for another three weeks.,Mai stau pentru încă trei săptămâni.
I'll be around for three weeks.,Voi fi pe aici timp de trei săptămâni.
Tom said that Mary was back.,Tom a spus că Mary s-a întors.
Tom deserves a vacation.,Tom are nevoie de-o vacanță.
Where's the airport?,Unde este aeroportul?
I was born in Osaka.,M-am născut în Osaka.
Be honest with me.,Fii onest cu mine.
The door handle is broken.,Mânerul ușii este rupt.
You should have seen it.,Ar fi trebuit să-l fi văzut.
She has abundant hair.,Ea are un păr bogat.
You're in better shape than I am.,Ești într-o formă mai bună decât sunt eu.
Do you speak Swedish?,Vorbiţi suedeza?
Who attended the meeting?,Cine a participat la întâlnire?
He wondered how many times the sun would rise before his salary would.,El s-a întrebat de câte ori trebuia soarele să se înalțe pe cer pănă ce salariul său să crească.
The criminal had to conceal his identity.,Criminalul a trebuit să-și ascundă identitatea.
Tom has a heavy workload.,Tom are un volum mare de muncă.
I don't want to wait that long.,Nu vreau să aştept atât de mult timp.
We could see the lights of the town in the distance.,Puteam vedea în depărtare luminile oraşului.
Tom has no shortage of friends.,Tom nu duce lipsă de prieteni.
It's easier said than done.,Este mai ușor de zis decât de făcut.
"For a moment, Tom was too surprised to speak.","Pentru o clipă, Tom a fost prea mirat ca să vorbească."
"Would you pass me the cream cheese, please?",Îmi dai brânza cremă te rog?
Not all the books are worth reading.,Nu toate cărțile merită citite.
I've returned.,M-am întors.
How did you come up with this crazy idea?,Cum ți-a venit această idee nebunească?
The people of America fought for their independence.,Americanii au luptat pentru independenţă.
Don't leave the bathroom in such a mess.,Nu lăsa baia în halul ăsta.
Now we have to rethink everything.,Acum trebuie să regândim totul.
He is a close friend of my brother.,El este un prieten apropiat al fratelui meu.
I hear that his father is abroad.,Aud că tatăl lui e în străinătate.
Who's winning?,Cine câștigă?
Don't be so sensitive.,Nu fi atât de sensibil.
Drive slowly.,Condu încet.
My luggage is missing.,Bagajele mele lipsesc.
What do you prefer?,Ce preferi?
Did you hear about yesterday's fire?,Ai auzit de incendiul de ieri?
You have no right to interfere in other people's affairs.,Nu ai nici un drept să te bagi în treaba altora.
I felt cold.,Mi-a fost frig.
I asked him to open the window.,I-am cerut să deschidă o fereastră.
Innocence is a beautiful thing.,Inocența e un lucru minunat.
She showed up early for practice.,Ea a venit mai devreme pentru exerciții.
"Sorry, where can I find a delicatessen?","Mă scuzați, unde pot găsi o delicatesă?"
I will return at 6:30.,Mă voi întoarce la 6:30.
Both of my sisters are married.,Surorile mele amândouă sunt căsătorite.
I can't see anything.,Nu pot vedea nimic.
I'm going to lie down.,Mă voi așeza să mă odihnesc.
Is tomorrow Saturday?,Mâine e sâmbătă?
The only useful answers are those that raise new questions.,Singurele răspunsuri utile sunt cele care ridică noi întrebări.
I don't want to go there.,Nu vreau să merg acolo.
Don't go to extremes.,Să nu cazi într-o extremă.
Summon up your courage and tell the truth.,Faceți apel la curajul dumneavoastră și spuneți adevărul.
You seemed interested.,Păreai interesat.
I think she will divorce him.,Cred că ea va divorța de el.
The statement is not wholly true.,Afirmația nu este adevărată în întregime.
I love California.,Îmi place California.
We'll never reach Boston before dark.,Nu vom ajunge la Boston înainte să se întunece.
Do you like tennis?,Îţi place tenisul?
All future meetings will be held in this room.,Toate viitoarele întâlniri vor avea loc în această cameră.
Have you been abroad?,Ai fost în străinătate?
Tom doesn't doubt that Mary will arrive on time.,Tom nu are dubii că Mary va sosi la timp.
Attack!,Atacați!
"Can you pay attention, please?","Poți fi, te rog, atent?"
She went with him to the zoo.,Ea s-a dus cu el la zoo.
An error was made.,S-a comis o eroare.
Tom can read very well.,Tom poate citi foarte bine.
This is just a hypothesis.,Aceasta este doar o ipoteză.
Tom left his wife for Mary.,Tom și-a părăsit nevasta pentru Mary.
I don't have to work anymore.,Nu mai trebuie să muncesc.
We have to study the matter.,Trebuie să studiem problema.
"I'm sorry, but I'm going home.","Îmi pare rău, dar plec acasă."
He is my classmate.,El este colegul meu de clasă.
Did you break the window on purpose or by accident?,Ai spart fereastra în mod intenționat sau din greșeală?
Tom lost all of his money.,Tom și-a pierdut toți banii.
This will be a good souvenir of my trip around the United States.,Acesta va fi un bun suvenir din călătoria mea în jurul Statelor Unite.
This just has to be his umbrella.,Aceasta trebuie să fie umbrela lui.
You're cruel.,Sunteți crud.
Tom doesn't like my dog.,Lui Tom nu-i place câinele meu.
I have something for you.,Am ceva pentru tine.
The world seems to get smaller.,Lumea pare să devină mai mică.
A rose by any other name would smell as sweet.,Un trandafir sub oricare alt nume ar mirosi la fel de dulce.
They have their own troubles.,Au și ei problemele lor.
It's our duty to help.,E datoria noastră să ajutăm.
What did you try to do?,Ce ai încercat să faci?
That was just an accident.,Acela a fost doar un accident.
"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday and Sunday are the seven days of the week.","Zilele săptămânii sunt: luni, marți, miercuri, joi, vineri, sâmbătă, duminică."
Truman arrived at the White House within minutes.,Truman a sosit la Casa Albă în câteva minute.
I can't speak French well.,Nu pot vorbi franceza bine.
I need a nurse now.,Am nevoie acum de o asistentă medicală.
Watching TV is fun.,Privitul la televizor este distractiv.
What did I do to deserve this?,Ce am făcut să merit asta?
Today is extremely hot.,Azi e foarte cald.
That's an old American custom.,Acesta este un vechi obicei american.
Pakistan is a Muslim country.,Pakistan este o țară musulmană.
It's a family heirloom.,Este o moștenire de familie.
He translated a Japanese novel into French.,El a tradus un roman japonez în franceză.
"You used to do that a lot, didn't you?","Erai obișnuit să faci asta des, nu-i așa?"
That's a hotel.,Acela este un hotel.
I'm aware of the situation.,Sunt conștient de situație.
Tom betrayed his country.,Tom și-a trădat țara.
I can't stay in this house.,Nu pot să stau în casa asta.
Communism was the biggest issue in the campaign.,Comunismul a fost marea problemă în campanie.
I'm from Romania.,Sunt din România.
We shouldn't be discussing this now.,Noi nu ar trebui să discutăm asta acum.
We might have frost next week.,Ar putea fi îngheț săptămâna viitoare.
I don't mind hot weather.,Nu mă deranjează vremea caldă.
This is an important time.,Asta e o perioadă importantă.
That's the most important reason.,Acesta este cel mai important motiv.
My grandma injured her leg in a fall.,Bunica mea și-a rănit piciorul căzând.
Are you seriously thinking about getting a divorce?,Te gândești serios să divorțezi?
I have never come across such a stubborn person.,Nu am întâlnit niciodată o persoană atât de încăpățânată.
I had been staying in Boston before I came back to Japan.,Am stat în Boston înainte de a mă întoarce în Japonia.
I live in Turkey.,Eu trăiesc în Turcia.
May I take a rest?,Pot să mă odihnesc?
The last time I saw Tom he was as drunk as a skunk.,Ultima oară când l-am văzut pe Tom era beat criță.
You're embarrassing her.,Tu o faci de râs.
I don't think Tom would do such a thing.,Nu cred că Tom ar face una ca asta.
They went fishing.,Ei s-au dus la pescuit.
"One, three, and five are odd numbers.","Unu, trei şi cinci sunt numere impare."
The only place Tom hadn't looked was in the basement.,Singurul loc unde Tom nu se uitase era în pivniță.
I like all kinds of music.,Îmi plac tot felul de genuri de muzică.
That's fortunate.,Asta e cu noroc.
"When I grow up, I want to be king.","Când voi crește mare, vreau să fiu rege."
I think I'm losing my mind.,Cred că îmi pierd mințile.
Tom knows nothing about Boston.,Tom nu știe nimic despre Boston.
I hate people who say that.,Urăsc oamenii care spun asta.
She made a bet with him.,Ea a făcut un pariu cu el.
He couldn't get his ideas across to the students.,El nu putea să-și explice clar ideile studenților.
I haven't kept any secrets from you.,N-am avut nici un secret față de tine.
I want to talk to her.,Vreau să vorbesc cu ea.
That is one of my daily chores.,Asta este una din sarcinile mele zilnice.
I have nothing to lose.,Nu am nimic de pierdut.
It rained this afternoon.,A plouat în această după-amiază.
I ran toward the door.,Am alergat spre uşă.
I worked a lot this week.,Am muncit mult săptămâna asta.
Tom's unscrupulous.,Tom este lipsit de scrupule.
Tom wanted to set the record straight.,Tom a vrut să clarifice lucrurile.
The factory produces ammunition.,Fabrica produce muniție.
I have to make a call.,Trebuie să dau un telefon.
Tom has gone to Boston.,Tom s-a dus la Boston.
His dream came true.,Visul lui s-a adeverit.
We need to enforce the law.,Trebuie să punem în aplicare legea.
We need rain.,Avem nevoie de ploaie.
Where did you learn French?,Unde ai învățat franceza?
I knew you wouldn't want to go to Boston with Tom.,Știam că nu ți-ai dori să mergi la Boston cu Tom.
Saint Peter's Square was crowded.,Piața Sfântul Petru era aglomerată.
I couldn't put up with his rudeness.,N-am puteam să tolerez lipsa lui de politeţe.
Tom is unbeatable at chess.,Tom este imbatabil la șah.
I asked Tom where I should park my car.,L-am întrebat pe Tom unde mi-aș putea parca mașina.
Tom and Mary are about the same height.,Tom și Mary au aproape aceeași înălțime.
I have to go to school.,Trebuie să merg la școală.
Go away.,Lasă-mă.
Tom looks happy today.,Tom arată fericit astăzi.
You don't need to worry about wiretapping.,Nu trebuie să vă faceți griji cu privire la interceptarea convorbirilor telefonice.
Why didn't you phone before coming?,De ce nu ai sunat înainte de a veni?
A new model isn't necessarily any better than the older one.,Un model nou nu trebuie neapărat să fie mai bun decât cel dinainte.
It's an omen.,Este o prevestire.
We are even.,Suntem chit.
I had some trouble.,Am avut ceva probleme.
Nobody answered the telephone.,Nimeni nu a răspuns la telefon.
You look very pale.,Arăți foarte palid.
Tom thinks Mary would be jealous.,Tom crede că Mary ar fi geloasă.
When do we begin?,Când începem?
I often go to the bookstore.,Mă duc des la librărie
We met at two in the afternoon.,Ne-am întâlnit după-amiaza la ora două.
We lived in Boston for three years.,Am locuit în Boston pentru trei ani.
I was accustomed to heat.,Eram obișnuit cu căldura.
What is the emergency?,Care este urgența?
The tickets for the concert are on sale here.,Biletele pentru concert sunt de vânzare aici.
How much does it cost?,Cât costă?
I'm 25 years old.,Am 25 de ani.
Everyone has both strong and weak points.,Toți au atât puncte forte cât și puncte slabe.
He came to ask us to help him.,A venit să ne roage să-l ajutăm.
A river runs down through the valley.,Un râu curge prin vale.
I'm passionate about my job.,Sunt pasionat de munca mea.
She made friends with him in Boston.,Ea s-a împrietenit cu el în Boston.
He is capable of teaching French.,El este capabil să predea franceza.
I'm sorry.,Îmi pare rău!
Come and eat your supper.,Vino și mănâncă-ți cina.
She doesn't want to talk about it.,Nu vrea să vorbească despre asta.
I didn't expect Tom and Mary to be here.,Nu mă așteptam ca Tom și Mary să fie aici.
Do you think Tom would consider dating my younger sister?,Crezi că Tom ar considera să se întâlnească cu sora mea mai tânără?
Tom seems to be busy all the time.,Tom pare a fi ocupat mai tot timpul.
Don't let anybody see you.,Nu lăsa pe nimeni să te vadă.
She bit him.,Ea l-a mușcat.
I thought you were hungry.,Credeam că îți este foame.
There is a lake in front of my house.,E un lac în faţa casei mele.
They got off at the next bus stop.,Ei au coborât la următoarea stație de autobuz.
The process will be messy.,Procesul va fi murdar.
I'm glad you liked it.,Mă bucur că ți-a plăcut.
Their contract is to run out at the end of this month.,Contractul lor va expira la sfârşitul lunii.
You need to stop doing things that bother Tom.,Trebuie să încetezi să faci lucruri care îl deranjează pe Tom.
He came to ask us for our help.,El a venit să ne ceară ajutorul.
They ignored me.,Ei m-au ignorat.
They wanted something better.,Ei au vrut ceva mai bun.
They were spending money.,Ei cheltuiau banii.
I'll overlook your conduct this time.,"De data asta, voi trece cu vederea comportamentul tău."
He received a large sum of money in compensation for his injury.,El a primit o sumă considerabilă de bani drept compensație pentru rănile suferite.
Don't let Tom sleep.,Nu-l lăsa pe Tom să doarmă.
The store happened to be crowded yesterday.,S-a întâmplat ca ieri magazinul să fie aglomerat.
Tom looks dismayed.,Tom pare consternat.
"In spite of the depression, the prices of commodities are still high.","În ciuda recesiunii economice, prețurile mărfurilor sunt încă ridicate."
I look forward to it.,Aștept cu nerăbdare.
Everything is all right.,Totul este în regulă.
The party finished at nine.,Petrecerea s-a terminat la nouă.
Their next attack was northeast of Paris in May.,Următorul lor atac a fost la nord-est de Paris în luna mai.
I make 100 euros per day.,Câștig 100 de euro pe zi.
I'm not a specialist.,Nu sunt un specialist.
Tom doesn't know whether Mary likes him or not.,Tom nu știe dacă Mary îl place ori nu.
Do whatever he tells you.,Faceți orice vă spune.
He's self-employed.,El este liber profesionist.
I didn't want that.,Nu vream asta.
Tom is looking into the situation.,Tom analizează situația.
Who was the greatest philosopher that ever lived?,Cine a fost cel mai mare filozof care a trăit vreodată?
Is everything ready?,E totul gata?
Can you help out?,Poți să ajuți?
Tom sharpened a pencil.,Tom a ascuțit un creion.
We're not done yet.,Nu am terminat încă.
They were satisfied.,Au fost mulțumiți.
Tom plays the guitar almost as well as Mary does.,Tom cântă la chitara aproape la fel de bine ca Mary.
I just want you to come.,Vreau doar ca tu să vii.
How do you account for that?,Cum explici asta?
Double your bet.,Dublează-ți miza.
Cost is also a factor.,"Costul este, de asemenea, un factor."
Tom has to be first.,Tom trebuie să fie primul.
Tom doesn't like poker very much.,Lui Tom nu-i place pokerul foarte mult.
I would like to live in a large city.,Vreau să locuiesc într-un oraş mare.
That was no accident.,Nu a fost un accident.
Tom and I want to learn French.,Eu și cu Tom dorim să învățăm franceză.
Tom doesn't like my friends.,Lui Tom nu-i plac prietenii mei.
Her only hobby is collecting stamps.,Singurul ei hobby este să colecționeze timbre.
"At that time, tariffs were high on many products.",La acea vreme taxele erau mari pentru multe produse.
Could you get us coffee?,Ne puteți aduce cafea?
I am bored.,M-am plictisit.
Tom uses two computers at the same time.,Tom folosește două calculatoare în același timp.
He's very intelligent.,El este foarte inteligent.
We should cancel the hike.,Ar trebui să anulăm excursia.
To have doubts about oneself is the first sign of intelligence.,A avea îndoieli cu privire la sine e primul semn de inteligență.
"Without him, I would be helpless.","Fără el, aş fi neajutorată."
We're not afraid of death.,Noi nu ne temem de moarte.
Tom knows right from wrong.,Tom știe ce e bine și ce e rău.
Someday I'll buy a cotton candy machine.,Într-o zi îmi voi cumpăra o mașină pentru vată de zahăr.
The exhibition will be open for another month.,Expoziția este deschisă încă o lună.
They're allies.,Ei sunt aliați.
"Tom claims he doesn't watch much TV, but he watches more than three hours every day.","Tom susține că nu se uită mult la televizor, dar el se uită mai mult de trei ore pe zi."
There's a mistake here.,Este o greșeală aici.
He said we must keep the secret.,A zis că trebuie să păstrăm secretul.
All were satisfied.,Toți erau satisfăcuți.
Definitely!,Cu siguranță!
Where did you procure the information?,De unde ai făcut rost de informație?
It wasn't an accident.,Nu a fost un accident.
Tom never makes his bed.,Tom nu-şi face niciodată patul.
What's your name?,Cum te cheamă?
The climb was strenuous.,Urcușul a fost obositor.
Tom starts work on Monday.,Tom începe luni lucrul.
She has a very enviable position.,Ea ocupă o poziție de invidiat.
I burned the cake.,Am ars tortul.
Tom doesn't feel like talking to Mary tonight.,Tom nu are chef să vorbească cu Mary diseară.
This is a serious mistake.,Asta e o greșeală serioasă.
Does your head hurt?,Te doare capul?
He's a sophomore.,El este student în anul doi.
I doubt it.,Mă îndoiesc.
Every little bit helps.,Orice mic ajutor e bun.
I can't believe Tom lied to my face about what happened.,Nu-mi vine să cred că Tom m-a mințit în față despre ce s-a întâmplat.
Tom is insightful.,Tom este perspicace.
This country is rich in oil.,Această ţară este bogată în petrol.
We look forward to competing.,Așteptăm cu nerăbdare să concurăm.
The museum is closed now.,Muzeul este acum închis.
You should sleep.,Ar trebui să dormi.
I am eating noodles.,Eu mănânc tăiței.
Follow close behind them.,Stai aproape în spatele lor.
"There are four main causes of alcohol-related death. Injury from car accidents or violence is one. Diseases like cirrhosis of the liver, cancer, heart and blood system diseases are the others.","Sunt patru principale cauze ale decesului datorită alcoolului. Prima, leziunile din accidentele de mașină sau actele de violență. Bolile ca ciroza ficatului, cancerul și cele cardiovasculare sunt celelalte cauze."
Who's your favorite politician?,Cine este politicianul tău preferat?
He is known to all the people in the town.,E cunoscut de toţi oamenii din oraş.
"Few, if any, Americans grasped the significance of what had been accomplished.","Puţini americani, dacă e vreunul, au prins înţelesul a ceea ce s-a înfăptuit."
Has anyone asked for me?,A cerut cineva să mă vadă?
We need stricter gun laws.,Avem nevoie de legi mai stricte asupra armelor.
You're contradicting yourselves.,Te contrazici singur.
Everyone always speaks well of Tom.,Toți îl vorbesc de bine pe Tom întodeauna.
I don't have a cat.,N-am nicio pisică.
I have a few tickets in row 15.,Am câteva bilete pe rândul 15.
I've never seen such a beautiful sunset.,Nu am văzut niciodată un apus de soare aşa de frumos.
I know how you feel.,Știu ce simți.
It doesn't mean anything.,Nu înseamnă nimic!
"No pain, no gain!",Nu e câștig fără osteneală.
"Tom has a lot of religious books, but he has never read them.","Tom are multe cărți religioase, dar nu le-a citit niciodată."
Mary is very attached to the little girl.,Mary s-a ataşat foarte tare de fetiţa aceea.
The accent of this word is on the second syllable.,Accentul în acest cuvânt cade pe a doua silabă.
Tom found the door locked.,Tom a găsit ușa închisă.
I cross the railroad tracks every morning.,Traversez calea ferată în fiecare dimineață.
I did something wrong.,Am făcut ceva greșit.
He is out of the office.,El e în afara biroului.
Tom was very disappointed.,Tom a fost foarte dezamăgit.
Tom has worked really hard.,Tom a lucrat din greu cu adevărat.
I want to have my own room.,Vreau să am camera mea.
Tom achieved remarkable results.,Tom a obținut rezultate remarcabile.
He was negligent of his duties.,El și-a neglijat îndatoririle.
My father likes pizza very much.,Tatălui meu îi place pizza foarte mult.
Tom wrung the water out of his wet swimsuit.,Tom a stors apa din costumul său de baie ud.
The room has two windows.,Camera are două ferestre.
You are free to go or stay.,Ești liber să pleci sau să rămâi.
Shepard remained in space only about 15 minutes.,Shepard a rămas în spațiu doar pentru 15 minute.
They felt he had no chance to win the election.,Au simțit că el nu avea nici o șansă de a câștiga alegerile.
I commute by train.,Eu fac naveta cu trenul.
I will go.,Eu voi merge.
He picked flowers for her.,El a strâns flori pentru ea.
I do not like wearing anybody else's clothes.,Nu-mi place să port hainele altcuiva.
Tom and Mary are on the same wavelength.,Tom și Mary sunt pe aceeași lungime de undă.
There was no warning whatsoever.,Nu a existat nici un fel de avertisment.
A true gentleman never betrays his friends.,Un adevărat gentilom nu îşi trădează niciodată prietenii.
I fail to see the reason.,Nu reușesc să înțeleg motivul.
Slice the bread very thinly.,Taie pâinea în felii subțiri.
Tom had a hectic week.,Tom a avut o săptămână agitată.
Playing baseball is fun.,E distractiv să jucăm baseball.
He won the race easily.,El a câștigat cursa ușor.
I will come.,Eu voi veni.
Where's your suitcase?,Unde este valiza ta?
I want something to eat.,Vreau să mănânc ceva.
"I came here to see if there was something I could do to help, but there doesn't seem to be anything for me to do.","Am venit aici ca să văd dacă pot să ajut cu ceva, dar se pare că nu e nimic de făcut pentru mine."
I am a good boy.,Sunt băiat bun.
Tom is still kind of young.,Tom încă este tinerel.
The manager opened the door and identified himself.,Managerul a deschis ușa și s-a legitimat.
My headache has gone.,Mi-a trecut durerea de cap.
You should listen to his advice.,Trebuie să asculți de sfatul lui.
The truth is that I didn't want to eat with Tom.,Adevărul este că nu am vrut să mănânc cu Tom.
It has a flaw.,Are un defect.
"Thanks for the help. ""Don't mention it.""",- Vă mulțumesc pentru ajutor. - Cu plăcere.
We're having a party next Saturday.,Dăm o petrecere sâmbăta viitoare.
He can also speak Russian.,El poate vorbi rusa de asemenea.
Do you know how to get there by public transportation?,Știți cum se ajunge acolo cu mijloacele de transport în comun?
I'm doubtful.,Am îndoieli.
